dteday,season_hour,year_hour,month_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,humidity,windspeed_hour,casual_hour,registered_hour,cnt_hour,hour_category,season_day,year_day,month_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum,windspeed_day,casual_day,registered_day,cnt_day,month_name,usage_category,usage_manual
2011-01-01,Spring,2011,1,0,0,6,0,Clear,0.24,0.2879,0.81,0.0,3,13,16,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,1,0,6,0,Clear,0.22,0.2727,0.8,0.0,8,32,40,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,2,0,6,0,Clear,0.22,0.2727,0.8,0.0,5,27,32,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,3,0,6,0,Clear,0.24,0.2879,0.75,0.0,3,10,13,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,4,0,6,0,Clear,0.24,0.2879,0.75,0.0,0,1,1,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,5,0,6,0,Mist,0.24,0.2576,0.75,0.0896,0,1,1,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,6,0,6,0,Clear,0.22,0.2727,0.8,0.0,2,0,2,Dini Hari,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,7,0,6,0,Clear,0.2,0.2576,0.86,0.0,1,2,3,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,8,0,6,0,Clear,0.24,0.2879,0.75,0.0,1,7,8,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,9,0,6,0,Clear,0.32,0.3485,0.76,0.0,8,6,14,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,10,0,6,0,Clear,0.38,0.3939,0.76,0.2537,12,24,36,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,11,0,6,0,Clear,0.36,0.3333,0.81,0.2836,26,30,56,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,12,0,6,0,Clear,0.42,0.4242,0.77,0.2836,29,55,84,Pagi,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,13,0,6,0,Mist,0.46,0.4545,0.72,0.2985,47,47,94,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,14,0,6,0,Mist,0.46,0.4545,0.72,0.2836,35,71,106,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,15,0,6,0,Mist,0.44,0.4394,0.77,0.2985,40,70,110,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,16,0,6,0,Mist,0.42,0.4242,0.82,0.2985,41,52,93,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,17,0,6,0,Mist,0.44,0.4394,0.82,0.2836,15,52,67,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,18,0,6,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,Siang,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,19,0,6,0,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,Malam,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,20,0,6,0,Mist,0.4,0.4091,0.87,0.2537,11,25,36,Malam,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,21,0,6,0,Mist,0.4,0.4091,0.87,0.194,3,31,34,Malam,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,22,0,6,0,Mist,0.4,0.4091,0.94,0.2239,11,17,28,Malam,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-01,Spring,2011,1,23,0,6,0,Mist,0.46,0.4545,0.88,0.2985,15,24,39,Malam,Spring,2011,1,0,6,0,Mist,0.344167,0.363625,0.805833,0.160446,331,654,985,January,Low,Low
2011-01-02,Spring,2011,1,0,0,0,0,Mist,0.46,0.4545,0.88,0.2985,4,13,17,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,1,0,0,0,Mist,0.44,0.4394,0.94,0.2537,1,16,17,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,2,0,0,0,Mist,0.42,0.4242,1.0,0.2836,1,8,9,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,3,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,4,6,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,4,0,0,0,Mist,0.46,0.4545,0.94,0.194,2,1,3,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,6,0,0,0,Light Rain/Snow,0.42,0.4242,0.77,0.2985,0,2,2,Dini Hari,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,7,0,0,0,Mist,0.4,0.4091,0.76,0.194,0,1,1,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,8,0,0,0,Light Rain/Snow,0.4,0.4091,0.71,0.2239,0,8,8,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,9,0,0,0,Mist,0.38,0.3939,0.76,0.2239,1,19,20,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,10,0,0,0,Mist,0.36,0.3485,0.81,0.2239,7,46,53,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,11,0,0,0,Mist,0.36,0.3333,0.71,0.2537,16,54,70,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,12,0,0,0,Mist,0.36,0.3333,0.66,0.2985,20,73,93,Pagi,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,13,0,0,0,Mist,0.36,0.3485,0.66,0.1343,11,64,75,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,14,0,0,0,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,15,0,0,0,Light Rain/Snow,0.34,0.3333,0.81,0.1642,19,55,74,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,16,0,0,0,Light Rain/Snow,0.34,0.3333,0.71,0.1642,9,67,76,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,17,0,0,0,Clear,0.34,0.3333,0.57,0.194,7,58,65,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,18,0,0,0,Mist,0.36,0.3333,0.46,0.3284,10,43,53,Siang,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,19,0,0,0,Clear,0.32,0.2879,0.42,0.4478,1,29,30,Malam,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,20,0,0,0,Clear,0.3,0.2727,0.39,0.3582,5,17,22,Malam,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,21,0,0,0,Clear,0.26,0.2273,0.44,0.3284,11,20,31,Malam,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,22,0,0,0,Clear,0.24,0.2121,0.44,0.2985,0,9,9,Malam,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-02,Spring,2011,1,23,0,0,0,Clear,0.22,0.2273,0.47,0.1642,0,8,8,Malam,Spring,2011,1,0,0,0,Mist,0.363478,0.353739,0.696087,0.248539,131,670,801,January,Low,Low
2011-01-03,Spring,2011,1,0,0,1,1,Clear,0.22,0.197,0.44,0.3582,0,5,5,Dini Hari,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,January,Low,Low
2011-01-03,Spring,2011,1,1,0,1,1,Clear,0.2,0.1667,0.44,0.4179,0,2,2,Dini Hari,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,January,Low,Low
2011-01-03,Spring,2011,1,4,0,1,1,Clear,0.16,0.1364,0.47,0.3881,0,1,1,Dini Hari,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,January,Low,Low
2011-01-03,Spring,2011,1,5,0,1,1,Clear,0.16,0.1364,0.47,0.2836,0,3,3,Dini Hari,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,January,Low,Low
2011-01-03,Spring,2011,1,6,0,1,1,Clear,0.14,0.1061,0.5,0.3881,0,30,30,Dini Hari,Spring,2011,1,0,1,1,Clear,0.196364,0.189405,0.437273,0.248309,120,1229,1349,January,Low,Low
